Designator,Mid X,Mid Y,Rotation,Layer
BT1,197.4,-87.25,0.0,top
BT2,268.18,-139.28,0.0,top
BT3,268.18,-163.03,180.0,top
BT4,268.18,-186.78,0.0,top
BT5,268.18,-210.53,180.0,top
BT6,126.56,-139.28,0.0,top
BT7,126.56,-163.03,0.0,top
BT8,126.56,-186.78,0.0,top
BT9,126.56,-210.53,0.0,top
H1,53.9,-44.9,0.0,top
H2,340.9,-44.9,0.0,top
H3,340.9,-244.9,0.0,top
H4,53.9,-244.9,0.0,top
H5,197.4,-244.9,0.0,top
H6,197.4,-44.9,0.0,top
H7,340.9,-144.9,0.0,top
H8,53.9,-144.9,0.0,top
J1,249.58,-87.25,0.0,top
J10,178.74,-139.28,0.0,top
J11,74.38,-139.28,0.0,top
J12,178.74,-163.03,0.0,top
J13,74.38,-163.03,0.0,top
J14,178.74,-186.78,0.0,top
J15,74.38,-186.78,0.0,top
J16,178.74,-210.53,0.0,top
J17,74.38,-210.53,0.0,top
J18,216.0,-163.03,0.0,top
J19,320.36,-186.78,0.0,top
J2,145.22,-87.25,0.0,top
J20,216.0,-210.53,0.0,top
J3,320.36,-139.28,0.0,top
J4,320.36,-210.53,0.0,top
J5,184.86,-222.0,0.0,top
J6,68.27,-222.0,0.0,top
J7,216.0,-139.28,0.0,top
J8,320.36,-163.03,0.0,top
J9,216.0,-186.78,0.0,top
