Ref,Val,Package,PosX,PosY,Rot,Side
"BT2","BH-18650-B5BA008","BH18650B1BA002",268.180000,-139.280000,0.000000,top
"BT3","BH-18650-B5BA008","BH18650B1BA002",268.180000,-163.030000,180.000000,top
"BT4","BH-18650-B5BA008","BH18650B1BA002",268.180000,-186.780000,0.000000,top
"BT5","BH-18650-B5BA008","BH18650B1BA002",268.180000,-210.530000,180.000000,top
"BT6","BH-18650-B5BA008","BH18650B1BA002",126.560000,-139.280000,0.000000,top
"BT7","BH-18650-B5BA008","BH18650B1BA002",126.560000,-163.030000,180.000000,top
"BT8","BH-18650-B5BA008","BH18650B1BA002",126.560000,-186.780000,0.000000,top
"BT9","BH-18650-B5BA008","BH18650B1BA002",126.560000,-210.530000,180.000000,top
"H1","MountingHole_M3_Pad","MountingHole_3.2mm_M3",53.900000,-44.900000,0.000000,top
"H2","MountingHole_M3_Pad","MountingHole_3.2mm_M3",340.900000,-44.900000,0.000000,top
"H3","MountingHole_M3_Pad","MountingHole_3.2mm_M3",340.900000,-244.900000,0.000000,top
"H4","MountingHole_M3_Pad","MountingHole_3.2mm_M3",53.900000,-244.900000,0.000000,top
"H5","MountingHole_M3_Pad","MountingHole_3.2mm_M3",197.400000,-244.900000,0.000000,top
"H6","MountingHole_M3_Pad","MountingHole_3.2mm_M3",197.400000,-44.900000,0.000000,top
"H7","MountingHole_M3_Pad","MountingHole_3.2mm_M3",340.900000,-144.900000,0.000000,top
"H8","MountingHole_M3_Pad","MountingHole_3.2mm_M3",53.900000,-144.900000,0.000000,top
"J3","4S B +ve","TestPoint_Pad_D6.0mm",320.360000,-139.280000,0.000000,top
"J4","4S B -ve","TestPoint_Pad_D6.0mm",320.360000,-210.530000,0.000000,top
"J7","2S 1P +ve","TestPoint_Pad_D6.0mm",216.000000,-139.280000,0.000000,top
"J8","3S 1P +ve","TestPoint_Pad_D6.0mm",320.360000,-163.030000,0.000000,top
"J9","4S 1P +ve","TestPoint_Pad_D6.0mm",216.000000,-186.780000,0.000000,top
"J10","1S 1P +ve","TestPoint_Pad_D6.0mm",178.740000,-139.280000,0.000000,top
"J11","1S 1P -ve","TestPoint_Pad_D6.0mm",74.380000,-139.280000,0.000000,top
"J12","1S 3P +ve","TestPoint_Pad_D6.0mm",178.740000,-163.030000,0.000000,top
"J13","1S 3P -ve","TestPoint_Pad_D6.0mm",74.380000,-163.030000,0.000000,top
"J14","1S 4P +ve","TestPoint_Pad_D6.0mm",178.740000,-186.780000,0.000000,top
"J15","1S 4P -ve","TestPoint_Pad_D6.0mm",74.380000,-186.780000,0.000000,top
"J16","1S 2P +ve","TestPoint_Pad_D6.0mm",178.740000,-210.530000,0.000000,top
"J17","1S 2P -ve","TestPoint_Pad_D6.0mm",74.380000,-210.530000,0.000000,top
"J18","1S 1P -ve","TestPoint_Pad_D6.0mm",216.000000,-163.030000,0.000000,top
"J19","2S 1P -ve","TestPoint_Pad_D6.0mm",320.360000,-186.780000,0.000000,top
"J20","3S 1P -ve","TestPoint_Pad_D6.0mm",216.000000,-210.530000,0.000000,top
"P1","1S 1P -ve","TestPoint_Pad_D6.0mm",145.340000,-82.360000,0.000000,top
"P2","1S 1P +ve","TestPoint_Pad_D6.0mm",249.700000,-82.360000,0.000000,top
"P3","1S 1P +ve","TestPoint_Pad_D6.0mm",169.105000,-92.530000,0.000000,top
"P4","1S 1P -ve","TestPoint_Pad_D6.0mm",227.050000,-92.530000,0.000000,top
"P5","1S 1P +ve","TestPoint_Pad_D6.0mm",183.330000,-100.180000,0.000000,top
"P6","1S 1P -ve","TestPoint_Pad_D6.0mm",219.750000,-100.180000,0.000000,top
