Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,BH-18650-B5BA008,BH18650B1BA002,197.40,-87.25,0.0,top
BT2,BH-18650-B5BA008,BH18650B1BA002,268.18,-139.28,0.0,top
BT3,BH-18650-B5BA008,BH18650B1BA002,268.18,-163.03,180.0,top
BT4,BH-18650-B5BA008,BH18650B1BA002,268.18,-186.78,0.0,top
BT5,BH-18650-B5BA008,BH18650B1BA002,268.18,-210.53,180.0,top
BT6,BH-18650-B5BA008,BH18650B1BA002,126.56,-139.28,0.0,top
BT7,BH-18650-B5BA008,BH18650B1BA002,126.56,-163.03,0.0,top
BT8,BH-18650-B5BA008,BH18650B1BA002,126.56,-186.78,0.0,top
BT9,BH-18650-B5BA008,BH18650B1BA002,126.56,-210.53,0.0,top
H1,MountingHole_M3_Pad,MountingHole_3.2mm_M3,53.90,-44.90,0.0,top
H2,MountingHole_M3_Pad,MountingHole_3.2mm_M3,340.90,-44.90,0.0,top
H3,MountingHole_M3_Pad,MountingHole_3.2mm_M3,340.90,-244.90,0.0,top
H4,MountingHole_M3_Pad,MountingHole_3.2mm_M3,53.90,-244.90,0.0,top
H5,MountingHole_M3_Pad,MountingHole_3.2mm_M3,197.40,-244.90,0.0,top
H6,MountingHole_M3_Pad,MountingHole_3.2mm_M3,197.40,-44.90,0.0,top
H7,MountingHole_M3_Pad,MountingHole_3.2mm_M3,340.90,-144.90,0.0,top
H8,MountingHole_M3_Pad,MountingHole_3.2mm_M3,53.90,-144.90,0.0,top
J1,1S 1P +ve,TestPoint_Pad_D2.0mm,249.58,-87.25,0.0,top
J2,1S 1P -ve,TestPoint_Pad_D2.0mm,145.22,-87.25,0.0,top
J3,4S B +ve,TestPoint_Pad_D2.0mm,320.36,-139.28,0.0,top
J4,4S B -ve,TestPoint_Pad_D2.0mm,320.36,-210.53,0.0,top
J5,4P B +ve,TestPoint_Pad_D2.0mm,184.86,-222.00,0.0,top
J6,4P B -ve,TestPoint_Pad_D2.0mm,68.27,-222.00,0.0,top
J7,2S 1P +ve,TestPoint_Pad_D2.0mm,216.00,-139.28,0.0,top
J8,3S 1P +ve,TestPoint_Pad_D2.0mm,320.36,-163.03,0.0,top
J9,4S 1P +ve,TestPoint_Pad_D2.0mm,216.00,-186.78,0.0,top
J10,1S 1P +ve,TestPoint_Pad_D2.0mm,178.74,-139.28,0.0,top
J11,1S 1P -ve,TestPoint_Pad_D2.0mm,74.38,-139.28,0.0,top
J12,1S 3P +ve,TestPoint_Pad_D2.0mm,178.74,-163.03,0.0,top
J13,1S 3P -ve,TestPoint_Pad_D2.0mm,74.38,-163.03,0.0,top
J14,1S 4P +ve,TestPoint_Pad_D2.0mm,178.74,-186.78,0.0,top
J15,1S 4P -ve,TestPoint_Pad_D2.0mm,74.38,-186.78,0.0,top
J16,1S 2P +ve,TestPoint_Pad_D2.0mm,178.74,-210.53,0.0,top
J17,1S 2P -ve,TestPoint_Pad_D2.0mm,74.38,-210.53,0.0,top
J18,1S 1P -ve,TestPoint_Pad_D2.0mm,216.00,-163.03,0.0,top
J19,2S 1P -ve,TestPoint_Pad_D2.0mm,320.36,-186.78,0.0,top
J20,3S 1P -ve,TestPoint_Pad_D2.0mm,216.00,-210.53,0.0,top
